date,source,headline,url,text,tone,goldstein_scale,actor1,actor2,event_code
2023-01-01,Financial Times,Central banks coordinate response to market stress,https://example.com/news/20230101_2130,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,-4.101767855747404,3.8729503076320415,Federal Reserve,Financial Sector,17
2023-01-01,Financial Times,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230101_3600,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-6.424657287983733,-7.3023886856493885,Banks,Consumers,15
2023-01-01,WSJ,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230101_4892,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,1.4350232498342397,5.7802105190430435,Banks,Consumers,14
2023-01-01,Financial Times,Central banks coordinate response to market stress,https://example.com/news/20230101_8173,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,0.011638923649128774,-3.683374636496144,Investors,Market,16
2023-01-01,WSJ,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230101_9720,Consumer goods face headwinds from inflation Additional context about market conditions and investor sentiment.,3.3395207269156435,5.956391498430071,Stock Market,Financial Sector,14
2023-01-01,Financial Times,Energy sector gains on oil price recovery,https://example.com/news/20230101_3783,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,9.722610733762288,4.096101248817554,Economy,Financial Sector,17
2023-01-02,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230102_2483,Financial services show resilience in challenging market Additional context about market conditions and investor sentiment.,-7.271462358945701,-4.461285876660099,Investors,Consumers,17
2023-01-02,Financial Times,Financial services show resilience in challenging market,https://example.com/news/20230102_9487,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,1.344893530608371,5.786670134814338,Investors,Financial Sector,15
2023-01-02,WSJ,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230102_6293,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,-8.944231790037682,-8.526779533624339,Banks,Business,16
2023-01-02,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230102_1359,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,1.9757918023843635,2.161700292811428,Federal Reserve,Consumers,15
2023-01-02,Bloomberg,Market volatility spikes as investors react to economic uncertainty,https://example.com/news/20230102_7728,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,2.0233902778293666,5.7187678828329025,Federal Reserve,Government,18
2023-01-02,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230102_5580,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,9.922826948498724,-8.965815853367292,Banks,Market,16
2023-01-03,Bloomberg,Central banks coordinate response to market stress,https://example.com/news/20230103_7041,Market volatility spikes as investors react to economic uncertainty Additional context about market conditions and investor sentiment.,-5.9398802540890605,-4.802839787809326,Banks,Market,14
2023-01-03,Reuters,Healthcare stocks mixed amid regulatory uncertainty,https://example.com/news/20230103_7081,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-5.110125614883865,-0.28655542948179846,Federal Reserve,Consumers,17
2023-01-03,CNBC,Energy sector gains on oil price recovery,https://example.com/news/20230103_5598,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-6.9621472706116405,-3.7362043385821497,Banks,Government,15
2023-01-03,WSJ,Corporate earnings disappoint as supply chain issues persist,https://example.com/news/20230103_9695,Fed signals potential rate hikes amid inflation concerns Additional context about market conditions and investor sentiment.,-5.409752922874372,9.023902120669696,Federal Reserve,Consumers,16
2023-01-03,Financial Times,Consumer goods face headwinds from inflation,https://example.com/news/20230103_4883,Healthcare stocks mixed amid regulatory uncertainty Additional context about market conditions and investor sentiment.,4.119568798863977,9.555102801794224,Federal Reserve,Consumers,16
2023-01-03,Bloomberg,Stocks tumble on recession fears and geopolitical tensions,https://example.com/news/20230103_3420,Central banks coordinate response to market stress Additional context about market conditions and investor sentiment.,9.11806517635188,-6.408786193547591,Investors,Financial Sector,15
2023-01-03,Reuters,Financial services show resilience in challenging market,https://example.com/news/20230103_3195,Stocks tumble on recession fears and geopolitical tensions Additional context about market conditions and investor sentiment.,8.509891464508648,-5.479137949118098,Federal Reserve,Market,17
2023-01-03,WSJ,Consumer goods face headwinds from inflation,https://example.com/news/20230103_5218,Tech stocks rally on strong earnings and AI optimism Additional context about market conditions and investor sentiment.,-4.26325961811179,-0.029105995718883282,Investors,Market,14
